[16:54:53] PUMP    ezo_i2c loaded -- using real EZO-PMP hardware
[16:54:53] SENSOR  ezo_i2c loaded -- using real EZO-pH hardware
[16:54:53] CTRL    reader thread started
 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
127.0.0.1 - - [19/May/2026 16:58:30] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:31] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:32] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:33] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:34] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:35] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:36] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:37] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:38] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:39] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:40] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:41] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:42] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:43] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:44] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:45] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:46] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:47] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:48] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:49] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:50] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:51] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:52] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:53] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:54] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:55] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:56] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:57] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:58:58] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:58:59] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:59:00] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:59:01] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:59:02] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:59:04] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:59:04] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:59:06] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:59:06] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:59:08] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:59:08] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:59:10] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:59:10] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:59:12] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:59:12] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:59:14] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:59:14] "GET /api/status HTTP/1.1" 200 -
[16:54:54] SENSOR  pH = 4.356  (I2C 0x63 bus 1)
[16:54:56] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:54:58] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:00] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:02] SENSOR  pH = 4.364  (I2C 0x63 bus 1)
[16:55:04] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:05] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:07] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:20] SENSOR  pH = 4.365  (I2C 0x63 bus 1)
[16:55:22] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:24] CTRL    sensor error: EZO-pH 0x63 returned no data
[16:55:26] CTRL    sensor error: EZO-pH 0x63 returned no data
